Course ID,Title
209,Introduction to HTML
213,Introduction to Python programming
231,Problem Solving & Design Thinking (July-Dec 2026)
239,Business Laws
264,Criminology
265,Law of Bankruptcy and Insolvency
285,American Literature
286,French I
312,Enterprise Web Applications
314,Bsl211 Business Statistics
322,Introduction to Artificial Intelligence and Machine Learning
339,Engineering Physics
341,Fundamentals of Organizational Behavior
365,Computer Networks
371,Analog IC Design
380,Entrepreneurship - BSL101- 2026 ODD
388,Fundamentals of Auditing- CML203A- 2026 ODD
391,Human Resource Management in Family Business
393,Creative Thinking & Negotiation
