2963,Basic Computer Skills for Professionals
2969,Mathematics-I
2971,Basic of Mechanical  Engineering
2972,Engineering Graphics & Drawing
2973,Introduction to Psychology
2976,Understanding Individual Differences
2992,BP_Database Management System
2993,BP_Data Communication and Networking
2996,BP_Skill Based Course
3016,Advance Data Structure
3022,Secure Coding and Software Vulnerability
3024,Industrial Training
3029,Mathematical Reasoning and Aptitude
3030,French-I
3031,Spanish-1
3032,French-II
3034,Major Project -1
3044,International Commercial Arbitration
3051,Environmental Modelling & Simulation
3157,Safety & Reliability Analysis
3158,GP-4
3160,GP-6
3161,CS-4
3163,CS-6
3167,Principles of Biochemistry
3178,Applied Cryptography
3187,Vulnerability Assessment and Penetration testing
3190,Environmental Biotechnology
3191,Material Characterization
3198,Image Processing
3206,CS-V
3207,GP-V
3216,Artificial Intelligence & Machine Learning on Cloud
3217,Theory of Computation
3218,PROJECT MANAGEMENT
3221,MATHEMATICAL FOUNDATION OF COMPUTER SCIENCE
3227,Competetion Law
3244,Risk Management Policies & Principles
3246,Basic of Mechanical  Engineering
3248,Campus to Corporate
3263,Introduction to Financial Institutions and Market
3265,Law and Society
3267,Comparative Public Law/System of Governance
3283,NEURAL NETWORK AND DEEP LEARNING
3284,Operating System
3288,RENEWABLE ENERGY RESOURCES
3293,Insurance & Risk Management
3312,Poetry-I (14th-18th Century)
3316,Risk Analysis and Assesment
3327,Soft Computing
3333,RTL DESIGN & SYNTHESIS
3358,International Human Rights Law
3374,Family Law-II
3378,Introduction to Portfolio Management
3381,FOCP-II
3382,Industrial Relations & Labour Laws
3383,Corporate Accounting
3384,Introduction to Organizational Behavior
3387,Statistics and Research Methodology-II
3395,Integrated Marketing Communication
3415,Fundamentals of Data Visualization
3430,Entrepreneurship and Innovation
3469,BP_Affirmative Action & Discriminative Justice
3497,BP_Positive Psychology
3513,Foundation of 2D Game Development
3515,Introduction to Human Resource Management
3516,Basic Computer Skills for Professionals
3518,Customer Relationship Management
3519,Management of Sales & Distribution
3520,Real Time Operating Systems
3521,Embeded Systems and VLSI Industry: Employment & Higher Study Trends
3524,Cost & Management Accounting
3528,ADR
3529,Law of Torts
3530,Marketing Management
3534,LEADERSHIP  PAST PRESENT & FUTURE
3542,Environmental Law (3Y)
3547,Advanced Contract Drafting
3561,Film Studies
3571,Operating System
3574,Heat & Mass Transfer
3576,PROJECT MANAGEMENT
3577,Fundamentals of Supply Chain Management
3596,BP_Strategic Financial Management
3609,Digital Marketing and Social Media
3612,Project-II
3634,Cyber Security
3635,Effective Communication-II (Reappear)
3637,Programming for Data Science
3638,Computer Networks
3639,Operating System
3642,GP-VI
3645,CS-VI
3702,BP_Software Project Management
3742,Cloud Security Essentials
3743,Fundamentals of Mobile application development
3744,Mobile Arch & app development
3745,GP-III
3746,Cloud Application Development & Deployment
3748,GP-V
3749,Cloud Security
3754,CS-V
3759,GP-V
3764,Entrepreneurship
3765,CS-V
3766,Fundamentals of Operations Management
3771,Industrial Training/Internship
3772,Fundamentals of Consumer Behavior
3774,Industrial Training
3775,Introduction to Marketing Management
3778,E-Commerce
3781,Organization Theory and Behaviour
3783,CMOS VLSI Design & Layout
3784,Business Policy & Strategy
3786,Image Processing and Computer Vision
3787,International Business
3793,Management of Sales & Distribution
3794,Statistics & Research Methodology-II
3796,Marketing of Services
3799,Performance & Competency Management
3800,Indian Economy
3802,Employee Training & Development
3805,Financial Economics
3807,Fundamentals of Money & Banking
3812,Fundamentals of Predictive Modelling
3814,Social Media & Web Analytics
3819,Entrepreneurship & Innovation
3822,Family Law-I
3825,Labour Law-I
3828,Company Law
3830,Law of Evidence
3833,Public International Law
3839,Intellectual Property Rights
3842,Civil Procedure Code
3845,Mediation & Conciliation and Arbitration
3847,Company Law (3Y)
3848,Law of Bankruptcy & Insolvancy
3849,GP-V
3851,Judicial Process & Independence of Judiciary
3854,Business Formation
3855,Public International Law (3Y)
3856,Private International Law
3858,GP-II
3860,CS-V
3862,Insurance Law
3864,CS-III
3868,Law of Taxation
3869,Creative Thinking and Negotiation Skills
3872,Environmental Studies
3875,Human Values & Professional Ethics
3878,Effective Communication-II
3881,French
3886,Mathematical Statistics
3887,Popular Literature
3890,British Novel-I
3896,Partition Literature
3898,Software Project Management
3899,Spanish
3900,Operations Research
3902,American Literature
3904,Big Data Analytics
3905,Automobile Engineering
3919,Cultural Psychology
3921,Fundamentals of Auditing
3923,Financial Management-II
3925,Life Span Approach to Developmental Psychology
3928,Cost Accounting
3929,Indirect Taxation (GST)
3945,Project-I
3951,Discrete Mathematics
3958,Introduction to AI&ML
3970,Entreprise Web Applications
3972,No SQL Databases
3974,Secure Communication and Cryptography
3976,Digital Forensics and Malware Analysis
3979,Big Data
3981,Deep Learning
3983,Introduction to Image Processing and Recognition
3985,XR Studio
3988,DBMS
3989,VR Development
3992,Andorid and iOS Operating System
3993,Reinforcement Learning
3995,Micro Service Based Applications
3996,Introduction to AI&ML
3997,Blockchain
3998,Software Engineering
4002,Marketing in Digital Era
4015,Design of Industrial Structures
4020,BP_Fundamentals of Business Environment
4032,Programming Fundamentals-I
4036,Skill Development-1
4038,Principles of Management
4039,Fundamental of Marketing Management
4040,Fundamentals of Organizational Behavior
4042,Fundamentals of Business Environment
4043,Marketing Management
4045,Business Statistics
4051,GP-I
4053,CS-I
4054,Engg Chemistry
4055,Effective Comm. for Law-I
4056,History of English Literature
4061,Professional Accounting
4062,Introduction to Banking
4063,Business Laws
4070,Basic Computer Skills for Professionals
4072,Poetry from Chaucer to Milton
4073,Drama from Miracle Plays to Shakespeare:14th-16th Century
4074,Research Methods and Critical Writing
4078,History of Economic Thoughts
4083,Law of Contract-I (3Y)
4084,Law of Torts (3 Y)
4085,Law of Crimes -I (3Y)
4096,Engg Maths-I
4098,DATABASE MANAGEMENT SYSTEM
4099,Data Communication and Networking
4100,Foundations of Computer System
4101,DATA STRUCTURE & ALGORITHM ANALYSIS
4103,Skill Based Course
4104,Basic of Mechanical  Engineering
4105,Engineering Graphics & Drawing
4106,Introduction to Psychology
4120,American Literature
4128,Professional Accounting
4135,Corporate Law Practice
4188,BP_Basics of Leadership
4246,BP_Property Law (3Y)
4251,BP_Geographical Indications and Other Related Laws
4263,BP_Science Technology and Human Rights
4293,DBMS
4295,Basic of Mechanical  Engineering
4298,Maintenance Engineering and Management
4301,Analysis and Design of Algorithms
4303,Programming for Games
4304,Cross Platform Game Development
4307,ADVANCED EXCEL
4310,Secure Coding and Software Vulnerabilities
4311,Big Data
4313,Deep Learning
4314,Entrepreneurship
4315,Engineering Graphics & Drawing
4318,Fundamentals of Organizational Behavior
4320,AR Development
4322,Artificial Intelligence for Robotics
4324,Introduction to Organizational Behavior
4325,Fundamentals of Consumer Behavior
4326,Mobile Application Development
4329,Psy Practical (Testing)
4333,Introduction to Marketing Management
4335,E-Commerce
4337,Leadership
4338,Computer Vision
4339,Investment Management
4340,Fundamentals of Big data analytics
4341,Data visualization
4344,Cyber Forensics and Malware Analysis Fundamentals
4346,Fundamentals of Retail Management
4348,Engineering Physics
4351,Advertising and Promotion
4352,Industrial Relations and Indian Labour Laws
4367,Basic Computer Skills for Professionals
4371,International Humanitarian law and Refugee Law
4379,CMOS VLSI DESIGN & LAYOUTS
4381,Entrepreneurship & Innovation
4386,Basics of Leadership
4402,Microfinance in India
4446,Creative Thinking and Negotiation Skills
4454,DISASTER MANAGEMENT
4461,Environmental Studies
4464,Engineering Chemistry
4501,Spanish-I
4516,19th Century Literature
4519,Introduction to Banking
4523,Corporate Accounting
4530,International Trade-Rules and Regulations
4540,Numerical Analysis
4561,Basics of Statistics
4569,Effective Communication-II (Reappear)
4570,Professional Accounting
4619,Strategic Financial Management
4622,Engineering Mathematics I
4626,Effective Communication for Law-I
4627,History of English Literature
4628,Poetry-I
4631,Poetry-II
4632,Popular Literature
4633,British Novel-I
4634,Partition Literature
4635,American Literature
4640,Poetry from Chaucer to Milton
4641,Drama from Miracle Plays to Shakespeare
4642,Research Methods and Critical Writing
4643,American Literature
4647,Introduction to Psychology
4649,Programming for Data Science
4650,Enterprise Web Applications
4652,Introduction to AI&ML
4654,Operating System
4658,Digital Forensics & Malware Analysis
4659,Advanced Programming for Games
4660,Reinforcement Learning
4663,Network Security
4664,Blockchain Technologies
4665,Introduction to Image Processing and Recognition
4666,Cloud Security Essentials
4670,Blockchain
4671,XR Studio
4672,Programming Fundamentals
4675,DBMS
4676,UI / UX Design Principles
4677,Introduction to AI & ML
4678,Software Engineering
4679,Fundamental of Mobile App Development
4680,Mobile Arch & App Development
4682,Database Management System
4683,Data Communication and Networking
4684,Foundations of Computer System
4685,Data Structure and Algorithm Analysis
4687,Software Project Management
4689,Big Data Analytics
4701,Qualitative Methods in Psychology
4706,Cultural Psychology
4708,Industrial and Organizational Psychology
4709,Counselling Psychology
4710,Psy Practical (Survey)
4713,Health Psychology
4722,Operations Management
4723,Business Statistics
4724,Employee Training and Development
4725,Fundamentals of Money and Banking
4731,Business Laws
4734,Financial Management
4739,Management of Sales and Distribution
4740,Recruitment and Selection
4743,Digital Business
4744,Web Design & Development
4746,Business Policy & Strategy
4747,Security & Investment Management
4748,Cost Accounting
4749,Indirect Taxation (GST)
4763,Intellectual Property Rights (3Y)
4767,Organization Theory and Behaviour
4768,Human Resource Management
4770,Law and Society
4771,Law of Crimes-I (IPC)
4772,Family Law-I
4775,Labour Law-I
4776,Company Law
4777,Law of Evidence
4778,Public International Law
4782,Health Law
4784,Intellectual Property Rights
4785,Civil Procedure Code
4786,Mediation & Conciliation and Arbitration
4791,Interpretation of Statues
4792,Business Formation
4793,Judicial Process and Independence of Judiciary
4794,Law of Bankruptcy and Insolvency
4796,Law of Taxation
4804,Private International Law
4822,Psychology for Living
4829,DBMS
4830,Secure Communication & Cryptography
4833,Industrial Training/Internship
4836,Project-I
4838,Industrial Training
4840,DESIGN FOR IOT
4841,FUNDAMENTALS OF SUPPLY CHAIN MANAGEMENT
4855,Principles of Management
4857,Fundamental of Marketing Management
4858,Fundamentals of Business Environment
4864,Professional Accounting
4878,History of Economic Thoughts
4881,Legal Methods
4882,Law of Contract
4883,Legal Methods (3Y)
4884,Law of Contract-I (3Y)
4885,Law of Torts (3 Y)
4886,Law of Crimes -I (3Y)
4894,Law and Justice in Globalizing World
4897,Positive Psychology
4899,Introduction to Psychology
4911,CORPORATE LAW PRACTICE
4943,SEMINAR
4944,ADVANCED DATA STRUCTURE
4955,INTRODUCTION TO FEM
4961,Statistics with Python
4962,Foundation of Data Science
